system,arrival_rate,weights,avg_response,p99_response,throughput,final_queue_size,crash
threshold,2,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.4406897636238,4.9077947281604395,1.65,0,0
threshold,2,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.2997840301883157,5.028316219821345,1.9,0,0
threshold,2,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.4736554337980134,4.951307331175886,0.8,0,0
threshold,4,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.3859168966232014,5.11296571313685,3.0,0,0
threshold,4,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.4408516167095686,5.0191532741542915,3.6,0,0
threshold,4,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.5491999108507826,4.9710672665423585,3.2,1,0
threshold,4,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.472793073558833,4.989369310407994,3.8,0,0
threshold,6,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.3302752922215033,4.8767651973553185,4.05,0,0
threshold,6,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.5725558791941183,5.0390309057242,5.3,0,0
threshold,6,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.6960126242464098,5.132475878642834,5.15,0,0
threshold,6,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6633589262397854,5.275210455032328,5.7,1,0
threshold,8,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.6469641274150217,5.176935154969485,5.95,0,0
threshold,8,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.702807692290379,5.243725120758702,7.4,0,0
threshold,8,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",4.0319532933087805,6.272500754516035,6.75,0,0
threshold,8,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6206499935403316,5.247542829976671,6.1,0,0
threshold,9,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.6690712194427064,5.080243387407329,6.4,2,0
threshold,9,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.839087784948402,5.298178141959629,7.5,6,0
threshold,9,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.9279331492009866,5.683463207108233,7.85,1,0
threshold,9,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6991516262065707,5.367142445166492,6.8,6,0
threshold,10,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",4.62761386272337,8.017234893211823,8.2,10,0
threshold,10,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.8087684898666794,5.469769052374548,7.5,9,0
threshold,10,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.8477310855668305,5.639113457048087,7.85,5,0
threshold,10,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.873906509863381,7.00141220712866,7.5,17,0
threshold,11,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",4.245006632654482,7.201056091949718,8.1,19,0
threshold,11,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",5.12453035545748,9.316456798233844,8.2,29,0
threshold,11,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",4.025720622489265,6.005772616223904,7.7,14,0
threshold,11,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",5.151852121397968,9.339326411899535,7.95,41,0
threshold,12,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",4.735414921763533,8.266268364446757,8.05,34,0
threshold,12,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",5.372285742564574,9.652598609674895,8.2,65,0
threshold,12,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",4.376110207732659,7.264174458730145,8.1,50,0
threshold,12,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",5.58908433208832,10.507606948835532,8.25,62,0
rl,2,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.3730490858266453,4.5582684511508615,1.6,0,0
rl,2,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.3890967732269326,4.972141607034096,1.05,0,0
rl,2,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.3798046033123357,4.8191851793494225,1.8,0,0
rl,2,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.644305030773067,5.09547892180026,1.7,0,0
rl,4,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.6455464761828136,5.1523763682190635,3.15,0,0
rl,4,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.5524812085173103,5.19189352187206,3.7,0,0
rl,4,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.5727757859022606,4.9199683736170154,3.4,0,0
rl,4,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.8054131208343964,5.05394197350221,3.1,0,0
rl,6,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.552196798408905,5.057176274591767,5.25,0,0
rl,6,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.6239828155627176,5.166031580725062,5.25,0,0
rl,6,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.556203058842889,5.142885042399584,5.25,0,0
rl,6,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.417402371215733,5.084086102109983,5.0,0,0
rl,8,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.5751345601356523,5.045383394748348,5.55,0,0
rl,8,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.814745064492096,5.443059250291776,5.95,0,0
rl,8,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.7141619697428774,5.361867185536924,6.6,0,0
rl,8,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6939887945521614,5.121887569405889,5.65,3,0
rl,9,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.7560736936113415,5.259608925343907,7.4,17,0
rl,9,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.716364435444736,5.297997811252685,6.85,16,0
rl,9,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.6977458001344865,5.392591108293249,7.05,1,0
rl,9,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6526968431093056,5.539125236100645,7.35,5,0
rl,10,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.850237135957783,5.86058754156667,7.55,2,0
rl,10,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.886164387768231,5.480419357900811,7.95,3,0
rl,10,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",5.177800839433935,8.277083055991225,8.2,27,0
rl,10,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",4.261945689763296,7.45394535835451,8.15,32,0
rl,11,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",4.045932683517887,6.593384467139802,7.5,23,0
rl,11,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",4.93646664942696,8.979121635054959,7.95,22,0
rl,11,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",4.978861457998829,8.368846094340592,8.05,29,0
rl,11,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",4.1313640475039435,6.891182642354055,8.0,33,0
rl,12,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",4.627105733402992,9.171857823600027,8.3,31,0
rl,12,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",5.205277759993502,8.473387445489807,8.1,48,0
rl,12,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",4.9805036760576655,8.548341133938692,8.0,51,0
rl,12,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",5.043542678727188,9.645347592558782,8.15,62,0
