system,arrival_rate,weights,avg_response,p99_response,throughput,final_queue_size,crash
threshold,2,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.5204012905881683,4.997399414286346,1.95,1,0
threshold,2,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.462358142612466,5.045274111786474,2.03,0,0
threshold,2,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.4753363758031863,5.033127955282722,1.775,1,0
threshold,4,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.5992373440119962,5.074620844478364,3.86,0,0
threshold,4,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.590252320231838,5.0497366040021605,3.875,0,0
threshold,4,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.567435912441213,5.067089429924395,4.065,0,0
threshold,4,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.641583767054285,5.0585487044936315,4.31,0,0
threshold,6,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.6430303798486294,5.169689503610624,5.725,0,0
threshold,6,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.6080887511464805,5.198220884170033,6.075,0,0
threshold,6,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.6482852247355284,5.137897816228088,6.15,0,0
threshold,6,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.598126345154214,5.161570361591949,5.975,4,0
threshold,8,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.692287422718667,5.270625525778867,7.62,0,0
threshold,8,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.7024284036583603,5.4330020610164125,7.895,1,0
threshold,8,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.799268138375617,5.625347688433577,8.08,2,0
threshold,8,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.7552976253435943,5.464327566735844,7.995,0,0
threshold,9,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.8221817567124092,5.869007025325352,8.355,4,0
threshold,9,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.9423552565514344,6.827662966590191,8.85,2,0
threshold,9,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.8949575220268766,6.11514243984253,8.82,0,0
threshold,9,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",4.001633533108883,7.816087007916089,8.65,15,0
threshold,10,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",6.010330989233482,12.080659036250784,9.71,55,0
threshold,10,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",5.216665191717972,10.618259279617295,9.59,9,0
threshold,10,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",5.61615722839184,9.551138537004919,9.56,41,0
threshold,10,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",5.30199987787968,11.101993123819407,9.515,40,0
threshold,11,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",13.827610644438476,23.866528557010113,9.795,188,1
threshold,11,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",15.755524560647574,26.286801930148524,9.81,223,1
threshold,11,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",16.63719126210685,27.706270187706945,9.81,247,1
threshold,11,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",9.545363700152132,21.800533472016916,9.775,179,1
threshold,12,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",20.28462500989404,36.426838767100904,9.805,374,1
threshold,12,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",23.67153306755421,42.870245493769836,9.81,443,1
threshold,12,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",20.84260887324964,37.3441679139381,9.835,401,1
threshold,12,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",18.295321651077277,32.944949592872526,9.795,351,1
rl,2,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.5882680578237753,5.026975857741541,1.845,0,0
rl,2,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.5495177222737664,5.048931999764425,2.045,0,0
rl,2,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.5478554656645542,5.029984478560926,1.845,0,0
rl,2,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6129817890244986,5.002082570670634,2.005,0,0
rl,4,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.60270154162831,5.074287154292558,3.965,1,0
rl,4,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.6275148792820087,5.067235269021864,3.75,0,0
rl,4,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.5869072680890186,5.0796577976262745,3.94,1,0
rl,4,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.538034989823866,5.070198783007436,3.74,0,0
rl,6,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.5903567245094177,5.115238118370596,5.89,0,0
rl,6,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.62469982129517,5.175859673689665,5.93,0,0
rl,6,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.6131947999726353,5.140468224201213,5.73,1,0
rl,6,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6558011092677103,5.200724575310676,6.125,0,0
